ine_id,distrito,municipio,freguesia,populacao,Inscritos,Votantes,Brancos,inscritos_freguesia,votantes_freguesia,brancos_freguesia
010103,Aveiro,Águeda,Aguada de Cima,788,645650.0,352093.0,10596.0,1289,703,21
010109,Aveiro,Águeda,Fermentelos,1642,645650.0,352093.0,10596.0,2686,1465,44
010112,Aveiro,Águeda,Macinhata do Vouga,4041,645650.0,352093.0,10596.0,6611,3605,108
010119,Aveiro,Águeda,Valongo do Vouga,1026,645650.0,352093.0,10596.0,1679,915,28
010121,Aveiro,Águeda,União das freguesias de Águeda e Borralha,3077,645650.0,352093.0,10596.0,5034,2745,83
010122,Aveiro,Águeda,União das freguesias de Barrô e Aguada de Baixo,3404,645650.0,352093.0,10596.0,5569,3037,91
010123,Aveiro,Águeda,"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",4848,645650.0,352093.0,10596.0,7931,4325,130
010124,Aveiro,Águeda,União das freguesias de Recardães e Espinhel,3421,645650.0,352093.0,10596.0,5597,3052,92
010125,Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,2118,645650.0,352093.0,10596.0,3465,1890,57
010126,Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",2346,645650.0,352093.0,10596.0,3838,2093,63
010127,Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,1413,645650.0,352093.0,10596.0,2312,1261,38
010202,Aveiro,Albergaria-a-Velha,Alquerubim,2383,645650.0,352093.0,10596.0,3899,2126,64
010203,Aveiro,Albergaria-a-Velha,Angeja,1054,645650.0,352093.0,10596.0,1724,940,28
010204,Aveiro,Albergaria-a-Velha,Branca,3131,645650.0,352093.0,10596.0,5122,2793,84
010206,Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,2782,645650.0,352093.0,10596.0,4551,2482,75
010209,Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,4557,645650.0,352093.0,10596.0,7455,4066,122
010210,Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,4917,645650.0,352093.0,10596.0,8044,4387,132
010304,Aveiro,Anadia,Avelãs de Caminho,4384,645650.0,352093.0,10596.0,7172,3911,118
010305,Aveiro,Anadia,Avelãs de Cima,538,645650.0,352093.0,10596.0,880,480,14
